"Category","Style","SKU","Product Name","Product Description","Brand","Color","Color Description","Swatch Image","Size","Main Image","Outfit","image2"
"WW Accessories Mirakl / Bags / Shoulder Bags","The Sutherland","ORG-5813BXY","AMANDAW MP","The perfect tote bag to take you from work to evening, The Sutherland combines style with function. The Sutherland has a chic East-West poportion and is made using beautiful supple leather. Grab handles and a cross body strap add versatility and multiple internal pockets make it easy to stay organised. Lined with the signature Amanda Wakeley linen lining and with internal leather trims, the inside is as beautiful as the outside.","Mirakl","Marrakech Orange Croc","test","","(W46XD12XH26)18.1 X4.7 X10.2 Strap drop 13cm/5.1 ,Shoulder strap drop 52cm/20.2","C:\xampp\htdocs\awstocks\public\productImage/http://techcloudltd.com/demo/baker-leather/public/productImage/28main.jpg","",""
"WW Accessories Mirakl / Bags / Shoulder Bags","The Sutherland","SND-5813BXZ","AMANDAW MP","The perfect tote bag to take you from work to evening, The Sutherland combines style with function. The Sutherland has a chic East-West poportion and is made using beautiful supple leather. Grab handles and a cross body strap add versatility and multiple internal pockets make it easy to stay organised. Lined with the signature Amanda Wakeley linen lining and with internal leather trims, the inside is as beautiful as the outside.","Mirakl","Sand Brown","test","","(W46XD12XH26)18.1 X4.7 X10.2 Strap drop 13cm/5.1 ,Shoulder strap drop 52cm/20.2","C:\xampp\htdocs\awstocks\public\productImage/http://techcloudltd.com/demo/baker-leather/public/productImage/27main.jpg","",""
"WW Accessories Mirakl / Bags / Shoulder Bags","The Redmayne","SND-6550X","AMANDAW MP","The Redmayne is the perfect day to evening bag with its chic shape and beautiful hardware. Intricate hand woven leather braiding details on the flap celebrate the craftsmanship required to make this beautfiul bag. A polished chain strap and bespoke lock further elevate this style.","Mirakl","Sand/Black","test","","(W24XD13XH17 Shoulder Strap min/max 25/46CM","C:\xampp\htdocs\awstocks\public\productImage/http://techcloudltd.com/demo/baker-leather/public/productImage/22main.jpg","",""
"WW Accessories Mirakl / Bags / Shoulder Bags","The Redmayne","MIN-6550","AMANDAW MP","The Redmayne is the perfect day to evening bag with its chic shape and beautiful hardware. Intricate hand woven leather braiding details on the flap celebrate the craftsmanship required to make this beautfiul bag. A polished chain strap and bespoke lock further elevate this style.","Mirakl","Marrakech Orange","tes","","(W24XD13XH17 Shoulder Strap min/max 25/46CM","C:\xampp\htdocs\awstocks\public\productImage/http://techcloudltd.com/demo/baker-leather/public/productImage/21main.jpg","",""
"WW Accessories Mirakl / Bags / Shoulder Bags","The Johansson","BLK-6543","AMANDAW MP","The staple summer tote, The Johansson is a clasic style elevated with beautifully crafted hand woven leather braiding details and contrast suede sides. Bespoke polished hardware and the Amanda Wakeley signature linen lining are more gorgeous details. The Johannson also comes with a detachable and reversible guitar strap","Mirakl","Black","test","","(W46xD12xH27) Handle Drop 16cm Shoulder strap drop 40cm","C:\xampp\htdocs\awstocks\public\productImage/31main.jpg","",""
"WW Accessories Mirakl / Bags / Shoulder Bags","The Johansson","SND-6543","AMANDAW MP","The staple summer tote, The Johansson is a clasic style elevated with beautifully crafted hand woven leather braiding details and contrast suede sides. Bespoke polished hardware and the Amanda Wakeley signature linen lining are more gorgeous details. The Johannson also comes with a detachable and reversible guitar strap","Mirakl","Sand Brown","test","","(W46xD12xH27) Handle Drop 16cm Shoulder strap drop 40cm","C:\xampp\htdocs\awstocks\public\productImage/http://techcloudltd.com/demo/baker-leather/public/productImage/29main.jpg","",""
"WW Accessories Mirakl / Bags / Shoulder Bags","The Johansson","SIL-6543X","AMANDAW MP","The staple summer tote, The Johansson is a clasic style elevated with beautifully crafted hand woven leather braiding details and contrast suede sides. Bespoke polished hardware and the Amanda Wakeley signature linen lining are more gorgeous details. The Johannson also comes with a detachable and reversible guitar strap","Mirakl","Silver","test","","(W46xD12xH27) Handle Drop 16cm Shoulder strap drop 40cm","C:\xampp\htdocs\awstocks\public\productImage/http://techcloudltd.com/demo/baker-leather/public/productImage/30main.jpg","",""
"WW Accessories Mirakl / Bags / Tote Bags","The Cagney","MIN-6549Y","AMANDAW MP","With its unique hexagon shape, Amanda Wakeley presents the Cagney top handle bag. Perfect for the office to the party. Made from the finest soft touch leather with a contrast texture flap in an exotic print. Hand woven leather braiding details and bespoke polsihed hardware further elevate this beautiful bag. Lined with the signature Amanda Wakeley linen lining and with internal leather trims, the inside is as beautiful as the outside.","Mirakl","Mineral/Mineral Stingray","test","","(W42 x D14 XH22)16.6 X 5.5 X8.8 Handle drop 16cm/6.6","C:\xampp\htdocs\awstocks\public\productImage/http://techcloudltd.com/demo/baker-leather/public/productImage/20main.jpg","",""
"WW Accessories Mirakl / Bags / Tote Bags","The Cagney","BLK-6549","AMANDAW MP","With its unique hexagon shape, Amanda Wakeley presents the Cagney top handle bag. Perfect for the office to the party. Made from the finest soft touch leather with a contrast texture flap in an exotic print. Hand woven leather braiding details and bespoke polsihed hardware further elevate this beautiful bag. Lined with the signature Amanda Wakeley linen lining and with internal leather trims, the inside is as beautiful as the outside.","Mirakl","Black/Black Lizard","test","","(W42 x D14 XH22)16.6 X 5.5 X8.8 Handle drop 16cm/6.3","C:\xampp\htdocs\awstocks\public\productImage/http://techcloudltd.com/demo/baker-leather/public/productImage/16main.jpg","",""
"WW Accessories Mirakl / Bags / Tote Bags","The Cagney","SND-6549X","AMANDAW MP","With its unique hexagon shape, Amanda Wakeley presents the Cagney top handle bag. Perfect for the office to the party. Made from the finest soft touch leather with a contrast texture flap in an exotic print. Hand woven leather braiding details and bespoke polsihed hardware further elevate this beautiful bag. Lined with the signature Amanda Wakeley linen lining and with internal leather trims, the inside is as beautiful as the outside.","Mirakl","Sand/Sand Croc","test","","(W42 x D14 XH22)16.6 X 5.5 X8.8 Handle drop 16cm/6.4","C:\xampp\htdocs\awstocks\public\productImage/http://techcloudltd.com/demo/baker-leather/public/productImage/19main.jpg","",""
